17,36
16,30
36,38
13,43
19,23
6,27
2,13
21,40
23,39
6,43
19,43
17,39
6,32
6,10
36,40
2,31
14,44
15,23
22,44
1,31
9,35
19,24
2,29
12,39
22,43
10,27
18,37
5,24
8,43
16,33
2,21
13,17
7,22
10,11
6,45
21,23
27,43
11,23
23,45
24,45
20,32
9,24
33,36
4,45
5,25
15,19
22,35
16,23
8,12
3,32
17,40
3,20
20,34
4,37
2,26
28,33
17,43
44,45
26,42
16,39
25,41
4,24
3,11
27,29
13,29
32,34
6,34
9,14
9,45
13,21
18,45
37,41
2,42
10,31
21,36
6,23
21,28
8,39
35,44
21,30
39,43
28,38
2,11
22,24
36,39
4,19
3,6
41,45
27,42
7,9
1,10
14,45
30,33
15,43
10,34
43,45
16,21
5,45
8,23
10,42
24,43
1,42
22,45
10,20
9,22
4,23
37,45
11,20
18,41
26,27
7,24
5,41
25,37
23,43
21,33
4,25
29,43
33,38
16,36
11,31
3,23
2,23
12,43
24,25
1,2
26,29
9,44
17,21
21,38
