1,39
23,38
32,40
18,43
20,27
8,9
18,35
30,40
12,37
21,37
8,39
43,44
5,28
24,27
21,30
19,42
23,34
16,34
11,18
19,32
32,37
25,41
12,23
11,41
19,40
16,33
13,33
19,22
13,16
12,43
29,38
11,23
15,27
6,21
7,31
14,41
3,33
23,24
18,33
19,43
25,31
3,25
9,44
24,35
34,40
4,42
8,19
28,30
29,35
5,34
17,34
37,40
3,23
13,39
19,26
5,23
3,10
12,38
1,2
36,44
38,45
33,34
16,26
12,18
2,16
17,42
6,37
11,33
18,23
8,22
12,19
24,29
12,35
3,11
9,36
11,14
13,36
5,40
33,44
4,19
5,6
19,34
22,39
40,42
10,23
35,45
20,38
11,25
17,40
18,24
28,40
10,33
13,44
12,32
6,12
2,22
24,38
14,23
21,28
23,25
1,13
33,43
19,44
31,41
6,23
5,21
8,13
21,40
2,13
2,39
2,26
15,24
29,45
7,25
9,19
8,36
17,19
12,45
2,19
27,38
23,41
20,29
4,40
11,31
15,20
7,11
20,24
16,19
23,33
