5,18
19,27
32,42
7,44
11,45
4,10
6,44
16,31
37,42
2,14
16,25
21,43
2,3
12,19
14,19
12,13
32,45
12,22
8,22
10,24
3,13
21,40
1,7
39,43
1,23
4,20
14,25
6,39
29,44
27,43
10,35
22,23
27,31
9,18
10,25
3,15
5,15
9,23
15,45
25,30
5,9
22,29
26,42
3,6
30,38
10,41
19,39
23,34
35,36
1,22
17,40
15,34
16,28
21,31
11,12
10,39
4,30
16,36
31,41
2,39
24,36
3,42
26,33
14,39
7,8
32,37
9,12
12,14
16,27
1,34
17,43
9,11
17,27
5,34
15,37
1,44
20,38
31,40
1,8
3,26
10,38
31,39
17,28
7,22
11,33
3,39
13,39
18,45
17,31
5,23
26,32
6,29
15,32
4,39
10,20
27,28
12,39
16,17
11,26
3,14
15,42
16,41
4,14
33,45
5,45
24,35
25,38
14,27
12,29
36,41
6,13
10,16
4,25
10,31
10,36
20,25
35,41
27,39
34,44
9,45
15,44
14,16
3,11
4,38
11,13
26,45
22,44
28,41
14,15
