31,40
15,29
13,21
10,29
11,41
39,44
5,25
32,36
4,33
4,31
6,25
15,16
22,33
13,37
31,32
10,13
40,44
15,37
3,28
24,31
14,27
17,28
6,33
5,29
23,39
1,43
6,15
6,20
17,32
16,39
12,33
11,30
4,37
9,25
26,40
17,19
31,37
27,36
17,42
24,26
38,42
8,40
38,39
12,43
21,35
11,21
34,37
14,23
20,25
1,31
27,31
6,10
9,15
18,37
8,12
15,22
21,33
14,44
31,34
16,22
23,44
6,45
28,36
15,17
8,16
2,16
10,30
32,37
17,39
9,29
4,35
25,29
7,41
40,43
2,38
1,4
4,21
1,12
6,30
3,14
7,10
7,13
6,29
1,24
17,38
8,33
20,29
18,21
15,32
15,45
39,40
16,33
27,44
23,28
2,39
16,42
25,45
2,42
3,23
12,40
7,30
11,33
17,36
28,39
13,41
16,19
27,28
16,40
15,19
27,40
14,28
21,37
5,9
29,37
18,35
11,13
24,40
19,42
26,43
30,41
35,37
27,32
30,33
32,34
6,22
10,37
4,12
1,26
15,25
